att_x_corr,N,hypothesis,power,n_significant,n_valid,n_sims,alpha
0.1,60,H1_attestation,1.0,1000,1000,1000,0.05
0.1,60,H2_attestation:correctness,0.075,75,1000,1000,0.05
0.1,60,H4_attestation:correctness:stakes,0.04,40,1000,1000,0.05
0.1,80,H1_attestation,1.0,1000,1000,1000,0.05
0.1,80,H2_attestation:correctness,0.092,92,1000,1000,0.05
0.1,80,H4_attestation:correctness:stakes,0.057,57,1000,1000,0.05
0.1,100,H1_attestation,1.0,1000,1000,1000,0.05
0.1,100,H2_attestation:correctness,0.127,127,1000,1000,0.05
0.1,100,H4_attestation:correctness:stakes,0.064,64,1000,1000,0.05
0.1,120,H1_attestation,1.0,1000,1000,1000,0.05
0.1,120,H2_attestation:correctness,0.143,143,1000,1000,0.05
0.1,120,H4_attestation:correctness:stakes,0.079,79,1000,1000,0.05
0.1,140,H1_attestation,1.0,1000,1000,1000,0.05
0.1,140,H2_attestation:correctness,0.181,181,1000,1000,0.05
0.1,140,H4_attestation:correctness:stakes,0.103,103,1000,1000,0.05
0.1,160,H1_attestation,1.0,1000,1000,1000,0.05
0.1,160,H2_attestation:correctness,0.245,245,1000,1000,0.05
0.1,160,H4_attestation:correctness:stakes,0.105,105,1000,1000,0.05
0.1,180,H1_attestation,1.0,1000,1000,1000,0.05
0.1,180,H2_attestation:correctness,0.24,240,1000,1000,0.05
0.1,180,H4_attestation:correctness:stakes,0.126,126,1000,1000,0.05
0.1,200,H1_attestation,1.0,1000,1000,1000,0.05
0.1,200,H2_attestation:correctness,0.288,288,1000,1000,0.05
0.1,200,H4_attestation:correctness:stakes,0.135,135,1000,1000,0.05
0.1,240,H1_attestation,1.0,1000,1000,1000,0.05
0.1,240,H2_attestation:correctness,0.379,379,1000,1000,0.05
0.1,240,H4_attestation:correctness:stakes,0.181,181,1000,1000,0.05
0.1,280,H1_attestation,1.0,1000,1000,1000,0.05
0.1,280,H2_attestation:correctness,0.437,437,1000,1000,0.05
0.1,280,H4_attestation:correctness:stakes,0.188,188,1000,1000,0.05
0.1,320,H1_attestation,1.0,1000,1000,1000,0.05
0.1,320,H2_attestation:correctness,0.522,522,1000,1000,0.05
