att_x_corr,N,hypothesis,power,n_significant,n_valid,n_sims,alpha
0.1,60,H1_attestation,1.0,1000,1000,1000,0.05
0.1,60,H2_attestation:correctness,0.094,94,1000,1000,0.05
0.1,60,H4_attestation:correctness:stakes,0.05,50,1000,1000,0.05
0.1,80,H1_attestation,1.0,1000,1000,1000,0.05
0.1,80,H2_attestation:correctness,0.116,116,1000,1000,0.05
0.1,80,H4_attestation:correctness:stakes,0.069,69,1000,1000,0.05
0.1,100,H1_attestation,1.0,1000,1000,1000,0.05
0.1,100,H2_attestation:correctness,0.173,173,1000,1000,0.05
0.1,100,H4_attestation:correctness:stakes,0.077,77,1000,1000,0.05
0.1,120,H1_attestation,1.0,1000,1000,1000,0.05
0.1,120,H2_attestation:correctness,0.184,184,1000,1000,0.05
0.1,120,H4_attestation:correctness:stakes,0.101,101,1000,1000,0.05
0.1,140,H1_attestation,1.0,1000,1000,1000,0.05
0.1,140,H2_attestation:correctness,0.232,232,1000,1000,0.05
0.1,140,H4_attestation:correctness:stakes,0.129,129,1000,1000,0.05
0.1,160,H1_attestation,1.0,1000,1000,1000,0.05
0.1,160,H2_attestation:correctness,0.305,305,1000,1000,0.05
0.1,160,H4_attestation:correctness:stakes,0.139,139,1000,1000,0.05
0.1,180,H1_attestation,1.0,1000,1000,1000,0.05
0.1,180,H2_attestation:correctness,0.301,301,1000,1000,0.05
0.1,180,H4_attestation:correctness:stakes,0.161,161,1000,1000,0.05
0.1,200,H1_attestation,1.0,1000,1000,1000,0.05
0.1,200,H2_attestation:correctness,0.359,359,1000,1000,0.05
0.1,200,H4_attestation:correctness:stakes,0.169,169,1000,1000,0.05
0.1,240,H1_attestation,1.0,1000,1000,1000,0.05
0.1,240,H2_attestation:correctness,0.479,479,1000,1000,0.05
0.1,240,H4_attestation:correctness:stakes,0.22,220,1000,1000,0.05
0.1,280,H1_attestation,1.0,1000,1000,1000,0.05
0.1,280,H2_attestation:correctness,0.546,546,1000,1000,0.05
0.1,280,H4_attestation:correctness:stakes,0.27,270,1000,1000,0.05
0.1,320,H1_attestation,1.0,1000,1000,1000,0.05
0.1,320,H2_attestation:correctness,0.621,621,1000,1000,0.05
0.1,320,H4_attestation:correctness:stakes,0.334,334,1000,1000,0.05
0.1,400,H1_attestation,1.0,1000,1000,1000,0.05
0.1,400,H2_attestation:correctness,0.74,740,1000,1000,0.05
0.1,400,H4_attestation:correctness:stakes,0.445,445,1000,1000,0.05
0.1,500,H1_attestation,1.0,1000,1000,1000,0.05
0.1,500,H2_attestation:correctness,0.836,836,1000,1000,0.05
0.1,500,H4_attestation:correctness:stakes,0.532,532,1000,1000,0.05
0.15,60,H1_attestation,1.0,1000,1000,1000,0.05
0.15,60,H2_attestation:correctness,0.217,217,1000,1000,0.05
0.15,60,H4_attestation:correctness:stakes,0.043,43,1000,1000,0.05
0.15,80,H1_attestation,1.0,1000,1000,1000,0.05
0.15,80,H2_attestation:correctness,0.332,332,1000,1000,0.05
0.15,80,H4_attestation:correctness:stakes,0.064,64,1000,1000,0.05
0.15,100,H1_attestation,1.0,1000,1000,1000,0.05
0.15,100,H2_attestation:correctness,0.434,434,1000,1000,0.05
0.15,100,H4_attestation:correctness:stakes,0.079,79,1000,1000,0.05
0.15,120,H1_attestation,1.0,1000,1000,1000,0.05
0.15,120,H2_attestation:correctness,0.515,515,1000,1000,0.05
0.15,120,H4_attestation:correctness:stakes,0.091,91,1000,1000,0.05
0.15,140,H1_attestation,1.0,1000,1000,1000,0.05
0.15,140,H2_attestation:correctness,0.601,601,1000,1000,0.05
0.15,140,H4_attestation:correctness:stakes,0.113,113,1000,1000,0.05
0.15,160,H1_attestation,1.0,1000,1000,1000,0.05
0.15,160,H2_attestation:correctness,0.68,680,1000,1000,0.05
0.15,160,H4_attestation:correctness:stakes,0.152,152,1000,1000,0.05
0.15,180,H1_attestation,1.0,1000,1000,1000,0.05
0.15,180,H2_attestation:correctness,0.745,745,1000,1000,0.05
0.15,180,H4_attestation:correctness:stakes,0.164,164,1000,1000,0.05
0.15,200,H1_attestation,1.0,1000,1000,1000,0.05
0.15,200,H2_attestation:correctness,0.799,799,1000,1000,0.05
0.15,200,H4_attestation:correctness:stakes,0.186,186,1000,1000,0.05
0.15,240,H1_attestation,1.0,1000,1000,1000,0.05
0.15,240,H2_attestation:correctness,0.872,872,1000,1000,0.05
0.15,240,H4_attestation:correctness:stakes,0.216,216,1000,1000,0.05
0.15,280,H1_attestation,1.0,1000,1000,1000,0.05
0.15,280,H2_attestation:correctness,0.919,919,1000,1000,0.05
0.15,280,H4_attestation:correctness:stakes,0.277,277,1000,1000,0.05
0.15,320,H1_attestation,1.0,1000,1000,1000,0.05
0.15,320,H2_attestation:correctness,0.961,961,1000,1000,0.05
0.15,320,H4_attestation:correctness:stakes,0.324,324,1000,1000,0.05
0.15,400,H1_attestation,1.0,1000,1000,1000,0.05
0.15,400,H2_attestation:correctness,0.992,992,1000,1000,0.05
0.15,400,H4_attestation:correctness:stakes,0.442,442,1000,1000,0.05
0.15,500,H1_attestation,1.0,1000,1000,1000,0.05
0.15,500,H2_attestation:correctness,0.997,997,1000,1000,0.05
0.15,500,H4_attestation:correctness:stakes,0.524,524,1000,1000,0.05
0.2,60,H1_attestation,1.0,1000,1000,1000,0.05
0.2,60,H2_attestation:correctness,0.494,494,1000,1000,0.05
0.2,60,H4_attestation:correctness:stakes,0.047,47,1000,1000,0.05
0.2,80,H1_attestation,1.0,1000,1000,1000,0.05
0.2,80,H2_attestation:correctness,0.641,641,1000,1000,0.05
0.2,80,H4_attestation:correctness:stakes,0.069,69,1000,1000,0.05
0.2,100,H1_attestation,1.0,1000,1000,1000,0.05
0.2,100,H2_attestation:correctness,0.745,745,1000,1000,0.05
0.2,100,H4_attestation:correctness:stakes,0.072,72,1000,1000,0.05
0.2,120,H1_attestation,1.0,1000,1000,1000,0.05
0.2,120,H2_attestation:correctness,0.831,831,1000,1000,0.05
0.2,120,H4_attestation:correctness:stakes,0.093,93,1000,1000,0.05
0.2,140,H1_attestation,1.0,1000,1000,1000,0.05
0.2,140,H2_attestation:correctness,0.883,883,1000,1000,0.05
0.2,140,H4_attestation:correctness:stakes,0.107,107,1000,1000,0.05
0.2,160,H1_attestation,1.0,1000,1000,1000,0.05
0.2,160,H2_attestation:correctness,0.923,923,1000,1000,0.05
0.2,160,H4_attestation:correctness:stakes,0.118,118,1000,1000,0.05
0.2,180,H1_attestation,1.0,1000,1000,1000,0.05
0.2,180,H2_attestation:correctness,0.95,950,1000,1000,0.05
0.2,180,H4_attestation:correctness:stakes,0.152,152,1000,1000,0.05
0.2,200,H1_attestation,1.0,1000,1000,1000,0.05
0.2,200,H2_attestation:correctness,0.97,970,1000,1000,0.05
